uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1
,Adherence Level A,,Misc,N/A,A,,,,,
,Adherence Level B,,Misc,N/A,B,,,,,
,Adherence Level C,,Misc,N/A,C,,,,,
,Alcoholism,,Misc,N/A,Alcoholism,,,,,
,"Side effect-Anemia",,Misc,N/A,Anemia,,,,,
,Antenatal Period,,Misc,N/A,Antenatal Period,,,,,
,Bacterial Pneumonia Opportunistic Infection,,Misc,N/A,Bacterial Pneumonia,,,,,
,Before Pregnancy,,Misc,N/A,Before Pregnancy,,,,,
,Blood or organ recipient,,Misc,N/A,Blood or organ recipient,,,,,
,Candidiasis Opportunistic Infection,,Misc,N/A,Candidiasis,,,,,
,Category A,,Misc,N/A,Category A,,,,,
,Category B,,Misc,N/A,Category B,,,,,
,Category C,,Misc,N/A,Category C,,,,,
,Category D,,Misc,N/A,Category D,,,,,
,Category I,,Misc,N/A,Category I,,,,,
,Category II,,Misc,N/A,Category II,,,,,
,Category III,,Misc,N/A,Category III,,,,,
,Category N,,Misc,N/A,Category N,,,,,
,Category X,,Misc,N/A,Category X,,,,,
,Cervisitis,,Misc,N/A,Cervisitis,,,,,
,Cesarean Section Delivery,,Misc,N/A,Cesarean Section Delivery,,,,,
,Child(Vertical transmission from mother),,Misc,N/A,Child(Vertical transmission from mother),,,,,
,Client of Sex worker,,Misc,N/A,Client of Sex worker,,,,,
,Clinical treatment failure,,Misc,N/A,Clinical treatment failure,,,,,
,Completed,,Misc,N/A,Completed,,,,,
,Crypto Meningitis Opportunistic Infection,,Misc,N/A,Crypto Meningitis,,,,,
,Cured,,Misc,N/A,Cured,,,,,
,Cytomegato Virus Opportunistic Infection,,Misc,N/A,Cytomegato Virus,,,,,
,Death,,Misc,N/A,Death,,,,,
,Depo,,Misc,N/A,Depo,,,,,
,"Side effect, Depression",,Misc,N/A,Depression,,,,,
,Diarrhoea ,,Misc,N/A,Diarrhoea,,,,,
,"Side effect, Diarrhoea",,Misc,N/A,Diarrhoea,,,,,
